X,Y,id,tipo_ubicazione,denominazione_ubicazione,numero_ civico,note,Indirizzo,UPL,Quartiere,Circoscrizione
13.357416,38.142208,1521,Piazza,CASCINO ANTONINO G.LE,46,,"Piazza Generale Antonio Cascino, 163, 90143 Palermo",Montepellegrino,Montepellegrino,VIII
13.356738,38.141679,1522,Cortile,SEMINARIO GRECO,3,,"Cortile Seminario Greco, Palermo",Montepellegrino,Montepellegrino,VIII
13.366621,38.145324,1523,Piazzetta,DI CRISTOFALO,5,,"Piazzetta di Cristofalo, 5, 90142 Palermo",Acquasanta,Montepellegrino,VIII
13.366916,38.145554,1524,Cortile,LE CHIAVI II,38,,"Cortile 2 le Chiavi, 38, 90142 Palermo",Acquasanta,Montepellegrino,VIII
13.368554,38.145018,1525,Salita,BELMONTE,40,,"Salita Belmonte, 40, 90142 Palermo",Acquasanta,Montepellegrino,VIII
13.330375,38.119992,1526,Via,MORICI,2,,"Via Eugenio Morici, 2, 90135 Palermo",Noce,Noce,V
13.367142,38.16571,1527,Piazza,VERGINE MARIA,12,,"Piazza Vergine Maria, 12, 90142 Palermo",Vergine Maria,Arenella - Vergine Maria,VII
13.366587,38.166954,1528,,NOSTRA DONNA DEL ROTOLO,50,,"Via Nostra Donna del Rotolo, 50, 90142 Palermo",Vergine Maria,Arenella - Vergine Maria,VII
13.371187,38.154316,1529,Via,MASSAIA GUGLIELMO CARDINALE,159,,"Via Massaia Guglielmo Cardinale, 159, 90142 Palermo",Arenella,Arenella - Vergine Maria,VII
13.374557,38.15318,1531,Via,DELLA LEVA,40,,"Via della Leva, 40, 90142 Palermo",Arenella,Arenella - Vergine Maria,VII
13.373844,38.154439,1532,Via,CARUSO,43,,"Via Caruso, 43, 90142 Palermo",Arenella,Arenella - Vergine Maria,VII
13.374019,38.153177,1533,Piazzetta,CARUSO,,,"Piazzetta Caruso, 90142 Palermo",Arenella,Arenella - Vergine Maria,VII
13.371361,38.151736,1534,Piazza,DELLE GALLINE,1,,"Piazza Monsignor Rocco Mormino, 1, 90142 Palermo",Arenella,Arenella - Vergine Maria,VII
13.374865,38.152536,1535,Piazza,TONNARA,1,,"Piazza Tonnara, 1, 90142 Palermo",Arenella,Arenella - Vergine Maria,VII
13.336036,38.152233,1536,Via,RESUTTANA,372,,"Via Resuttana, 372, 90146 Palermo",Resuttana,Resuttana - San Lorenzo,VI
13.334844,38.153081,1537,Via,RESUTTANA,418,,"Via Resuttana, 418, 90146 Palermo",Resuttana,Resuttana - San Lorenzo,VI
13.333839,38.153692,1538,Piazzetta,SCANNASERPE,2,,"Via Scannaserpe, 2, 90146 Palermo",Resuttana,Resuttana - San Lorenzo,VI
13.32014,38.15886,1540,VIA,NUOVA,106,,"Via Nuova, 106A, 90146 Palermo",San Lorenzo,Resuttana - San Lorenzo,VI
13.332105,38.076801,1541,Via,VILLAGRAZIA,467,,"Via Villagrazia, 467, 90126 Palermo",Villagrazia,Villagrazia - Falsomiele,III
13.332105,38.076801,1541,Via,VILLAGRAZIA,467,,"Via Villagrazia, 467, 90126 Palermo",Villagrazia,Villagrazia - Falsomiele,III
13.328333,38.138362,1546,Via,FELICE,4,,"Via Felice, 4, 90145 Palermo",Uditore,Uditore - Passo di Rigano,V
13.301989,38.105442,1777,Via,Montelepre,22/A,,"Via Montelepre, 22, 90136 Palermo",Boccadifalco - Baida,Boccadifalco,IV
13.345457,38.132659,1783,Via,Lo Jacono angolo via Notarbartolo,,,"Via Emanuele Notarbartolo & Via Francesco Lo Jacono, 90141 Palermo",Notarbartolo - Giardino Inglese,Libertà,VIII
13.281374,38.199126,1785,Via,Tritone,24,,"Via Tritone, 24, 90147 Palermo",Sferracavallo,Tommaso Natale - Sferracavallo,VII
13.323129,38.189699,2009,Via,Perseo,21,,"Via Perseo, 21, 90149 Palermo",Partanna Mondello,Partanna Mondello,VII
13.358045,38.128767,2170,Piazza,Ximenes Ettore,senza numero civico,,"Via Ettore Ximenes, 90139 Palermo PA",Borgo Vecchio - Principe Scordia,Politeama,VIII
13.358777,38.127531,2171,Piazzetta,Mulino a Vento,di rimpetto civico 11,,"Piazzetta Mulino a Vento, 90139 Palermo",Borgo Vecchio - Principe Scordia,Politeama,VIII
13.355585,38.119806,,Via,Volturno,2,(sede AMAP),"Via Volturno, 2, 90138 Palermo",Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I
